image,region_key,class,expected_sku,sku_digit_class,scorable,any_compatible_track_center_hit,detected,det_id,seg_found,ocr_found,predicted_sku,raw_crop_gt_coverage,buffered_crop_gt_coverage,ocr_exact_match,raw_segmentation_iou_proxy,raw_segmentation_gt_coverage,raw_segmentation_precision_proxy,post_segmentation_iou_proxy,post_segmentation_gt_coverage,post_segmentation_precision_proxy,failure_category
1770339044281_0244_1026_07-019.jpg,1770339044281_0244_1026_07-019.jpg|Pallet_SKU|2407|935|2733|1013,pallet,1004815592,10-digit,yes,yes,yes,3,yes,yes,1004815592,0.9750668554349536,1.0,yes,0.7606916426512969,0.8265798208805661,0.9051505383718538,0.48078891900030113,1.0,0.48078891900030113,correct
1770339044281_0244_1026_07-019.jpg,1770339044281_0244_1026_07-019.jpg|Pallet_SKU|3516|867|3794|941,pallet,1000035351,10-digit,yes,yes,yes,0,yes,yes,1000035351,1.0,1.0,yes,0.6481847591660675,0.7129583868735792,0.8770671206225681,0.4391263314008359,0.9658001383809429,0.44606254279844787,correct
1770339044281_0244_1026_07-019.jpg,1770339044281_0244_1026_07-019.jpg|Pallet_SKU|2226|1852|2564|1954,pallet,1001294717,10-digit,yes,yes,yes,6,yes,yes,1001294717,1.0,1.0,yes,0.7726066443876548,0.7817115011685147,0.9851485148514851,0.4842756694278559,1.0,0.4842756694278559,correct
1770339044281_0244_1026_07-019.jpg,1770339044281_0244_1026_07-019.jpg|Pallet_SKU|3770|1823|4082|1912,pallet,1004815592,10-digit,yes,yes,yes,1,yes,yes,1004815592,1.0,1.0,yes,0.6970750988142292,0.718156151590835,0.9595908299477656,0.53325226555488,1.0,0.53325226555488,correct
1770339044281_0244_1026_07-019.jpg,1770339044281_0244_1026_07-019.jpg|Other_SKU|2182|1611|2361|1659,other,1001294717,10-digit,yes,yes,yes,17,yes,yes,1001294717,1.0,1.0,yes,0.7780246069719754,0.947751873438801,0.8128905552579897,0.3939642447105134,1.0,0.3939642447105134,correct
1770339044281_0244_1031_07-020.jpg,1770339044281_0244_1031_07-020.jpg|RDC_SKU|330|1904|608|2010,rdc,1010234413,10-digit,yes,yes,yes,19,yes,no,,0.9306026876611918,1.0,no,0.5580288214101904,0.5750082863771959,0.9497426913390999,0.5751642297096843,0.8996353994033809,0.6146007880077895,ocr_missing
1770339044281_0244_1031_07-020.jpg,1770339044281_0244_1031_07-020.jpg|RDC_SKU|2383|1804|2650|1894,rdc,1002883543,10-digit,yes,yes,yes,1,yes,yes,1002883543,0.9411568872243029,1.0,yes,0.7865718693406667,0.9154566744730679,0.8481845797772313,0.38642533936651585,1.0,0.38642533936651585,correct
1770339044281_0244_1031_07-020.jpg,1770339044281_0244_1031_07-020.jpg|Handwritte_SKU|2800|155|3160|287,handwritten,N/A,not-visible,no,no,no,,no,no,,0.0,0.0,n/a,0.0,0.0,0.0,0.0,0.0,0.0,detection_missed
1770339044281_0244_1031_07-020.jpg,1770339044281_0244_1031_07-020.jpg|Handwritte_SKU|2791|60|3140|167,handwritten,N/A,not-visible,no,no,no,,no,no,,0.0,0.0,n/a,0.0,0.0,0.0,0.0,0.0,0.0,detection_missed
1770339044281_0244_1031_07-020.jpg,1770339044281_0244_1031_07-020.jpg|RDC_SKU|5021|3395|5203|3479,rdc,N/A,not-visible,no,yes,yes,2,yes,no,,0.7817896389324961,1.0,n/a,0.7820033955857385,0.7970696815874481,0.9763990955342001,0.5082082551594747,1.0,0.5082082551594747,not_ocr_scorable
1770339044281_0244_1031_07-020.jpg,1770339044281_0244_1031_07-020.jpg|RDC_SKU|4998|3210|5179|3303,rdc,N/A,not-visible,no,yes,yes,0,yes,no,,0.7889265133963049,1.0,n/a,0.7429119590705606,0.7597558316982778,0.9710225689607133,0.5343040186371578,1.0,0.5343040186371578,not_ocr_scorable
1770339044281_0244_1031_07-020.jpg,1770339044281_0244_1031_07-020.jpg|RDC_SKU|5000|3069|5169|3126,rdc,N/A,not-visible,no,yes,yes,3,yes,no,,0.9349112426035503,1.0,n/a,0.6502093258264761,0.7881014873140857,0.787963610916725,0.42863571589289734,1.0,0.42863571589289734,not_ocr_scorable
1770339044281_0244_1066_07-017.jpg,1770339044281_0244_1066_07-017.jpg|Other_SKU|1886|232|2010|298,other,N/A,not-visible,no,no,no,,no,no,,0.0,0.0,n/a,0.0,0.0,0.0,0.0,0.0,0.0,detection_missed
1770339044281_0244_1066_07-017.jpg,1770339044281_0244_1066_07-017.jpg|Pallet_SKU|2383|177|2643|290,pallet,1010234413,10-digit,yes,yes,yes,1,yes,yes,1010234413,1.0,1.0,yes,0.7298494242692648,0.9080344620316569,0.7881053821406834,0.3056244450567956,1.0,0.3056244450567956,correct
1770339044281_0244_1066_07-017.jpg,1770339044281_0244_1066_07-017.jpg|Pallet_SKU|2930|826|3261|920,pallet,1010234638,10-digit,yes,yes,yes,3,yes,yes,1010234638,1.0,1.0,yes,0.7866271232138042,0.8955737000429738,0.866065067679886,0.3568314749501632,1.0,0.3568314749501632,correct
1770339044281_0244_1066_07-017.jpg,1770339044281_0244_1066_07-017.jpg|Pallet_SKU|4033|1672|4423|1816,pallet,1010234413,10-digit,yes,yes,yes,0,yes,yes,1010234413,1.0,1.0,yes,0.83895918597229,0.8617378225153304,0.9694550503297467,0.42313717810633505,1.0,0.42313717810633505,correct
1770339044281_0244_1066_07-017.jpg,1770339044281_0244_1066_07-017.jpg|Pallet_SKU|2111|1938|2382|2027,pallet,1002076139,10-digit,yes,yes,yes,4,yes,yes,1002076139,1.0,1.0,yes,0.733048173339878,0.7664784808270401,0.9438425424340917,0.4701067246917418,0.9979470635677102,0.470561797752809,correct
