sample_index,anchor_found,quadrant,anchor_x,anchor_y,anchor_w,anchor_h,anchor_area,fill_ratio,aspect_ratio,split,image,label_line
1,True,top_left,28,9,100,26,951,0.366,3.846,train,1775040206432_6639_1025_48-012.jpg,0
2,True,top_left,25,9,52,20,593,0.570,2.600,train,1775040206432_6639_1025_48-012.jpg,1
3,True,bottom_left,0,21,54,20,533,0.494,2.700,train,1775040206432_6639_1025_48-012.jpg,2
4,True,bottom_left,40,7,32,17,252,0.463,1.882,train,1775040206432_6639_1025_48-012.jpg,4
5,True,bottom_right,90,8,60,21,582,0.462,2.857,train,1775040206432_6639_1025_48-012.jpg,5
6,True,bottom_right,148,7,24,20,258,0.537,1.200,train,1775040206432_6639_1025_48-012.jpg,6
7,True,bottom_right,27,5,178,18,1176,0.367,9.889,train,1775040206432_6639_1025_48-012.jpg,8
8,True,bottom_left,23,10,91,16,1118,0.768,5.688,train,1775040206432_6639_1025_48-012.jpg,10
9,True,bottom_left,32,6,59,20,803,0.681,2.950,train,1775040206432_6639_1025_48-012.jpg,11
10,True,bottom_right,82,8,68,17,492,0.426,4.000,train,1775040206432_6639_1025_48-012.jpg,12
11,True,bottom_right,307,0,34,79,1665,0.620,0.430,train,1775040206432_6639_1087_48-008.jpg,0
12,True,top_right,101,9,66,20,661,0.501,3.300,train,1775040206432_6639_1087_48-008.jpg,2
13,True,bottom_right,181,18,58,24,836,0.601,2.417,train,1775040206432_6639_1087_48-008.jpg,3
14,True,bottom_right,111,11,71,25,870,0.490,2.840,train,1775040206432_6639_1087_48-008.jpg,4
15,True,bottom_right,110,14,72,26,1145,0.612,2.769,train,1775040206432_6639_1087_48-008.jpg,5
16,True,bottom_left,0,0,235,148,7411,0.213,1.588,train,1775040206432_6639_1087_48-008.jpg,8
17,True,bottom_left,0,32,306,136,9491,0.228,2.250,train,1775040206432_6639_1087_48-008.jpg,10
18,True,bottom_right,295,39,170,72,4673,0.382,2.361,train,1775040206432_6639_1087_48-008.jpg,12
19,True,bottom_right,77,16,89,22,795,0.406,4.045,train,1775040206432_6639_1124_48-006.jpg,0
20,True,bottom_right,82,14,87,25,764,0.351,3.480,train,1775040206432_6639_1124_48-006.jpg,1
21,True,bottom_right,96,12,74,15,520,0.468,4.933,train,1775040206432_6639_1124_48-006.jpg,3
22,True,bottom_right,87,12,113,16,776,0.429,7.062,train,1775040206432_6639_1124_48-006.jpg,4
23,True,bottom_right,86,13,126,25,1375,0.437,5.040,train,1775040206432_6639_1124_48-006.jpg,5
24,True,bottom_left,29,15,165,26,1938,0.452,6.346,train,1775040206432_6639_1124_48-006.jpg,6
25,True,bottom_left,26,58,191,32,3264,0.534,5.969,train,1775040206432_6639_1124_48-006.jpg,9
26,True,top_left,0,0,45,84,2368,0.626,0.536,train,1775040206432_6639_1124_48-006.jpg,11
27,True,bottom_right,42,10,141,17,1126,0.470,8.294,train,1775040206432_6639_1187_48-002.jpg,0
28,True,bottom_right,70,8,114,19,1093,0.505,6.000,train,1775040206432_6639_1187_48-002.jpg,1
