region_key,image_idx,url_tail,region_idx,region_label,captured_ts,overlay_path,source_image_path,slot_id,x_bin,y_bin,cx,cy,shelf_x1,shelf_y1,shelf_x2,shelf_y2,detector_source,is_true_empty,review_status,reviewer,notes
1777716561237#1048#1115#15-013::1,1,1777716561237#1048#1115#15-013,1,1.1,2026-05-02 10:09:21.237000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/01_1777716561237_1048_1115_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1777716561237_1048_1115_15-013.jpg,"2.5,0.5",2.5,0.5,2.592,0.685,2.523,0.444,2.661,0.927,camera_cart,,needs_review,,
1777716561237#1048#1115#15-013::2,1,1777716561237#1048#1115#15-013,2,1.2,2026-05-02 10:09:21.237000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/01_1777716561237_1048_1115_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1777716561237_1048_1115_15-013.jpg,"2.0,1.5",2.0,1.5,1.85,1.722,1.784,1.605,1.916,1.839,camera_cart,,needs_review,,
1777716561237#1048#1115#15-013::3,1,1777716561237#1048#1115#15-013,3,1.3,2026-05-02 10:09:21.237000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/01_1777716561237_1048_1115_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1777716561237_1048_1115_15-013.jpg,"2.5,2.0",2.5,2.0,2.747,2.044,2.682,1.926,2.812,2.163,camera_cart,,needs_review,,
1777879837073#1048#1069#15-013::1,2,1777879837073#1048#1069#15-013,1,2.1,2026-05-04 07:30:37.073000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/02_1777879837073_1048_1069_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1777879837073_1048_1069_15-013.jpg,"2.5,1.0",2.5,1.0,2.657,0.889,2.593,0.669,2.72,1.108,camera_cart,,needs_review,,
1777879837073#1048#1069#15-013::2,2,1777879837073#1048#1069#15-013,2,2.2,2026-05-04 07:30:37.073000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/02_1777879837073_1048_1069_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1777879837073_1048_1069_15-013.jpg,"3.5,2.0",3.5,2.0,3.59,1.76,3.523,1.642,3.657,1.878,camera_cart,,needs_review,,
1777879837073#1048#1069#15-013::3,2,1777879837073#1048#1069#15-013,3,2.3,2026-05-04 07:30:37.073000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/02_1777879837073_1048_1069_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1777879837073_1048_1069_15-013.jpg,"3.0,2.0",3.0,2.0,2.782,2.058,2.722,1.943,2.841,2.172,camera_cart,,needs_review,,
1777879837073#1048#1069#15-013::4,2,1777879837073#1048#1069#15-013,4,2.4,2026-05-04 07:30:37.073000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/02_1777879837073_1048_1069_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1777879837073_1048_1069_15-013.jpg,"2.5,2.0",2.5,2.0,2.591,2.06,2.53,1.938,2.652,2.183,camera_cart,,needs_review,,
1777879837073#1048#1069#15-013::5,2,1777879837073#1048#1069#15-013,5,2.5,2026-05-04 07:30:37.073000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/02_1777879837073_1048_1069_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1777879837073_1048_1069_15-013.jpg,"2.0,1.5",2.0,1.5,2.117,1.514,2.056,1.408,2.178,1.621,camera_cart,,needs_review,,
1777973856364#1048#1242#15-013::1,3,1777973856364#1048#1242#15-013,1,3.1,2026-05-05 09:37:36.364000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/03_1777973856364_1048_1242_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1777973856364_1048_1242_15-013.jpg,"2.0,2.0",2.0,2.0,2.067,2.138,1.985,1.967,2.149,2.309,camera_cart,,needs_review,,
1777973856364#1048#1242#15-013::2,3,1777973856364#1048#1242#15-013,2,3.2,2026-05-05 09:37:36.364000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/03_1777973856364_1048_1242_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1777973856364_1048_1242_15-013.jpg,"2.0,2.0",2.0,2.0,1.786,2.154,1.709,1.982,1.863,2.326,camera_cart,,needs_review,,
