url_tail,gt_empty_region_count,gt_empty_slot_count,pred_empty_slot_count,count_abs_error
1777716561237#1048#1115#15-013,3,3,1,2
1777879837073#1048#1069#15-013,5,5,3,2
1777973856364#1048#1242#15-013,2,1,6,4
1778061259494#1048#1255#15-013,3,2,2,1
1778152127886#1048#1078#15-013,1,1,3,2
1778238552969#1048#1065#15-013,3,2,4,1
1778323251941#1048#1250#15-013,2,2,2,0
1778485362596#1048#1264#15-013,1,1,2,1
1778574001592#1048#1054#15-013,4,4,3,1
1778664475737#1048#1176#15-013,7,6,1,6
1778755940152#1048#1204#15-013,4,4,2,2
1778836917293#1048#1247#15-013,1,1,4,3
1779095664038#1048#1045#15-013,3,3,2,1
1779530651748#1048#1054#15-013,1,1,2,1
1779703428853#1048#1170#15-013,2,2,2,0
