image_idx,captured_ts,url_tail,region_idx,x1,y1,x2,y2,cx,cy,w,h,x_bin,y_bin,slot_id
1,2026-05-02 10:09:21.237000 UTC,1777716561237#1048#1115#15-013,1,2.523,0.444,2.661,0.927,2.592,0.685,0.138,0.483,2.5,0.5,"2.5,0.5"
1,2026-05-02 10:09:21.237000 UTC,1777716561237#1048#1115#15-013,2,1.784,1.605,1.916,1.839,1.85,1.722,0.132,0.234,2.0,1.5,"2.0,1.5"
1,2026-05-02 10:09:21.237000 UTC,1777716561237#1048#1115#15-013,3,2.682,1.926,2.812,2.163,2.747,2.044,0.13,0.237,2.5,2.0,"2.5,2.0"
2,2026-05-04 07:30:37.073000 UTC,1777879837073#1048#1069#15-013,1,2.593,0.669,2.72,1.108,2.657,0.889,0.127,0.439,2.5,1.0,"2.5,1.0"
2,2026-05-04 07:30:37.073000 UTC,1777879837073#1048#1069#15-013,2,3.523,1.642,3.657,1.878,3.59,1.76,0.134,0.236,3.5,2.0,"3.5,2.0"
2,2026-05-04 07:30:37.073000 UTC,1777879837073#1048#1069#15-013,3,2.722,1.943,2.841,2.172,2.782,2.058,0.119,0.229,3.0,2.0,"3.0,2.0"
2,2026-05-04 07:30:37.073000 UTC,1777879837073#1048#1069#15-013,4,2.53,1.938,2.652,2.183,2.591,2.06,0.122,0.245,2.5,2.0,"2.5,2.0"
2,2026-05-04 07:30:37.073000 UTC,1777879837073#1048#1069#15-013,5,2.056,1.408,2.178,1.621,2.117,1.514,0.122,0.213,2.0,1.5,"2.0,1.5"
3,2026-05-05 09:37:36.364000 UTC,1777973856364#1048#1242#15-013,1,1.985,1.967,2.149,2.309,2.067,2.138,0.164,0.342,2.0,2.0,"2.0,2.0"
3,2026-05-05 09:37:36.364000 UTC,1777973856364#1048#1242#15-013,2,1.709,1.982,1.863,2.326,1.786,2.154,0.154,0.344,2.0,2.0,"2.0,2.0"
4,2026-05-06 09:54:19.494000 UTC,1778061259494#1048#1255#15-013,1,2.123,1.965,2.257,2.241,2.19,2.103,0.134,0.276,2.0,2.0,"2.0,2.0"
4,2026-05-06 09:54:19.494000 UTC,1778061259494#1048#1255#15-013,2,1.889,1.976,2.03,2.263,1.959,2.119,0.141,0.287,2.0,2.0,"2.0,2.0"
4,2026-05-06 09:54:19.494000 UTC,1778061259494#1048#1255#15-013,3,1.795,0.417,1.961,0.929,1.878,0.673,0.166,0.512,2.0,0.5,"2.0,0.5"
5,2026-05-07 11:08:47.886000 UTC,1778152127886#1048#1078#15-013,1,2.476,0.449,2.619,0.92,2.548,0.684,0.143,0.471,2.5,0.5,"2.5,0.5"
6,2026-05-08 11:09:12.969000 UTC,1778238552969#1048#1065#15-013,1,2.406,1.921,2.549,2.235,2.478,2.078,0.143,0.314,2.5,2.0,"2.5,2.0"
6,2026-05-08 11:09:12.969000 UTC,1778238552969#1048#1065#15-013,2,2.637,1.925,2.776,2.221,2.707,2.073,0.139,0.296,2.5,2.0,"2.5,2.0"
6,2026-05-08 11:09:12.969000 UTC,1778238552969#1048#1065#15-013,3,2.464,0.369,2.63,0.87,2.547,0.619,0.166,0.501,2.5,0.5,"2.5,0.5"
7,2026-05-09 10:40:51.941000 UTC,1778323251941#1048#1250#15-013,1,1.382,1.081,1.52,1.323,1.451,1.202,0.138,0.242,1.5,1.0,"1.5,1.0"
7,2026-05-09 10:40:51.941000 UTC,1778323251941#1048#1250#15-013,2,1.794,0.443,1.967,0.935,1.881,0.689,0.173,0.492,2.0,0.5,"2.0,0.5"
8,2026-05-11 07:42:42.596000 UTC,1778485362596#1048#1264#15-013,1,2.124,1.903,2.286,2.235,2.205,2.069,0.162,0.332,2.0,2.0,"2.0,2.0"
9,2026-05-12 08:20:01.592000 UTC,1778574001592#1048#1054#15-013,1,2.96,1.877,3.104,2.166,3.032,2.022,0.144,0.289,3.0,2.0,"3.0,2.0"
9,2026-05-12 08:20:01.592000 UTC,1778574001592#1048#1054#15-013,2,2.127,1.037,2.251,1.272,2.189,1.155,0.124,0.235,2.0,1.0,"2.0,1.0"
9,2026-05-12 08:20:01.592000 UTC,1778574001592#1048#1054#15-013,3,2.586,0.419,2.748,0.892,2.667,0.655,0.162,0.473,2.5,0.5,"2.5,0.5"
9,2026-05-12 08:20:01.592000 UTC,1778574001592#1048#1054#15-013,4,3.649,1.888,3.782,2.159,3.716,2.023,0.133,0.271,3.5,2.0,"3.5,2.0"
10,2026-05-13 09:27:55.737000 UTC,1778664475737#1048#1176#15-013,1,2.108,1.608,2.242,1.897,2.175,1.752,0.134,0.289,2.0,2.0,"2.0,2.0"
10,2026-05-13 09:27:55.737000 UTC,1778664475737#1048#1176#15-013,2,3.129,1.138,3.267,1.494,3.198,1.316,0.138,0.356,3.0,1.5,"3.0,1.5"
10,2026-05-13 09:27:55.737000 UTC,1778664475737#1048#1176#15-013,3,2.092,1.286,2.235,1.582,2.163,1.434,0.143,0.296,2.0,1.5,"2.0,1.5"
10,2026-05-13 09:27:55.737000 UTC,1778664475737#1048#1176#15-013,4,1.356,1.067,1.5,1.316,1.428,1.192,0.144,0.249,1.5,1.0,"1.5,1.0"
10,2026-05-13 09:27:55.737000 UTC,1778664475737#1048#1176#15-013,5,0.623,1.705,0.783,1.978,0.703,1.841,0.16,0.273,0.5,2.0,"0.5,2.0"
10,2026-05-13 09:27:55.737000 UTC,1778664475737#1048#1176#15-013,6,1.769,0.414,1.983,0.913,1.876,0.663,0.214,0.499,2.0,0.5,"2.0,0.5"
10,2026-05-13 09:27:55.737000 UTC,1778664475737#1048#1176#15-013,7,1.798,1.44,1.938,1.687,1.868,1.563,0.14,0.247,2.0,1.5,"2.0,1.5"
11,2026-05-14 10:52:20.152000 UTC,1778755940152#1048#1204#15-013,1,2.063,1.622,2.194,1.904,2.128,1.763,0.131,0.282,2.0,2.0,"2.0,2.0"
11,2026-05-14 10:52:20.152000 UTC,1778755940152#1048#1204#15-013,2,0.586,1.713,0.751,1.993,0.668,1.853,0.165,0.28,0.5,2.0,"0.5,2.0"
11,2026-05-14 10:52:20.152000 UTC,1778755940152#1048#1204#15-013,3,1.762,1.457,1.896,1.688,1.829,1.573,0.134,0.231,2.0,1.5,"2.0,1.5"
11,2026-05-14 10:52:20.152000 UTC,1778755940152#1048#1204#15-013,4,1.728,0.445,1.943,0.941,1.836,0.693,0.215,0.496,2.0,0.5,"2.0,0.5"
12,2026-05-15 09:21:57.293000 UTC,1778836917293#1048#1247#15-013,1,1.646,1.285,1.9,1.818,1.773,1.551,0.254,0.533,2.0,1.5,"2.0,1.5"
13,2026-05-18 09:14:24.038000 UTC,1779095664038#1048#1045#15-013,1,3.819,3.438,4.424,4.048,4.122,3.743,0.605,0.61,4.0,3.5,"4.0,3.5"
13,2026-05-18 09:14:24.038000 UTC,1779095664038#1048#1045#15-013,2,3.062,1.888,3.201,2.187,3.131,2.037,0.139,0.299,3.0,2.0,"3.0,2.0"
13,2026-05-18 09:14:24.038000 UTC,1779095664038#1048#1045#15-013,3,3.725,1.893,3.859,2.157,3.792,2.025,0.134,0.264,4.0,2.0,"4.0,2.0"
14,2026-05-23 10:04:11.748000 UTC,1779530651748#1048#1054#15-013,1,2.194,1.348,2.328,1.637,2.261,1.493,0.134,0.289,2.5,1.5,"2.5,1.5"
15,2026-05-25 10:03:48.853000 UTC,1779703428853#1048#1170#15-013,1,2.12,1.906,2.281,2.251,2.2,2.079,0.161,0.345,2.0,2.0,"2.0,2.0"
15,2026-05-25 10:03:48.853000 UTC,1779703428853#1048#1170#15-013,2,1.127,1.255,1.302,1.611,1.215,1.433,0.175,0.356,1.0,1.5,"1.0,1.5"
